event_time,ts_iso,event_type,hit_count,hit_times,hit_values,iois,ioi_error_ratio,autocorr_score
1785258251.7878206,2026-07-29T02:04:11.787,SOS_CONFIRMED,3,1785258250.736275|1785258251.276285|1785258251.787821,15.112|55.714|16.808,0.540|0.512,0.0271,0.6667
1785258256.3784277,2026-07-29T02:04:16.378,OTHER_REPEATED_VIBRATION,2,1785258256.104613|1785258256.378428,22.720|18.679,,,
1785258262.615893,2026-07-29T02:04:22.615,OTHER_REPEATED_VIBRATION,2,1785258262.204604|1785258262.615893,36.838|18.043,,,
1785258269.0651188,2026-07-29T02:04:29.065,SINGLE_IMPACT_CANDIDATE,1,1785258269.065119,19.738,,,
1785258274.2569788,2026-07-29T02:04:34.256,SINGLE_IMPACT_CANDIDATE,1,1785258274.256979,25220.749,,,
1785258278.3711727,2026-07-29T02:04:38.371,SINGLE_IMPACT_CANDIDATE,1,1785258278.371173,193.206,,,
1785258279.6261,2026-07-29T02:04:39.626,OTHER_REPEATED_VIBRATION,2,1785258279.356684|1785258279.626100,15.378|22.759,,,
1785258280.8264844,2026-07-29T02:04:40.826,SINGLE_IMPACT_CANDIDATE,1,1785258280.826484,39.487,,,
1785258287.4893029,2026-07-29T02:04:47.489,SOS_CONFIRMED,3,1785258286.532014|1785258286.949635|1785258287.489303,370.317|1095.078|454.948,0.418|0.540,0.1275,0.6667
1785258296.2462552,2026-07-29T02:04:56.246,SOS_CONFIRMED,3,1785258295.345032|1785258295.766834|1785258296.246255,215.211|196.647|315.682,0.422|0.479,0.0639,0.6667
1785258307.8558292,2026-07-29T02:05:07.855,SINGLE_IMPACT_CANDIDATE,1,1785258307.855829,94.255,,,
1785258311.1556377,2026-07-29T02:05:11.155,SINGLE_IMPACT_CANDIDATE,1,1785258311.155638,58.439,,,
1785258314.8164086,2026-07-29T02:05:14.816,SOS_CONFIRMED,3,1785258313.826292|1785258314.343248|1785258314.816409,51.560|20.423|36.889,0.517|0.473,0.0442,0.6667
1785258322.0756335,2026-07-29T02:05:22.075,OTHER_REPEATED_VIBRATION,8,1785258319.556710|1785258319.825943|1785258320.307950|1785258320.636385|1785258320.965742|1785258321.236931|1785258321.599559|1785258322.075634,515.273|17.525|20.722|15.035|181.719|25.733|22.505|21.315,,,
1785258323.1265135,2026-07-29T02:05:23.126,SINGLE_IMPACT_CANDIDATE,1,1785258323.126513,19.614,,,
1785258326.3956673,2026-07-29T02:05:26.395,SOS_CONFIRMED,3,1785258325.495809|1785258325.916556|1785258326.395667,26.409|51.311|15.447,0.421|0.479,0.0649,0.6667
